            12
             id           type       radius_a       radius_b       radius_c     position_x     position_y     position_z       axle_a_x       axle_a_y       axle_a_z       axle_b_x       axle_b_y       axle_b_z       axle_c_x       axle_c_y       axle_c_z     velocity_x     velocity_y     velocity_z         omga_x         omga_y         omga_z        force_x        force_y        force_z       moment_x       moment_y       moment_z
              1              0   1.150000e+00   5.000000e-01   6.900000e-01   4.973174e+01   0.000000e+00   9.936725e-01   2.250054e+00   1.570796e+00   6.792575e-01   1.570796e+00   4.619360e-07   1.570796e+00   2.462335e+00   1.570796e+00   2.250054e+00   2.008031e-02   0.000000e+00   5.505538e-02   0.000000e+00   2.781917e-02   0.000000e+00  -4.916840e+05   0.000000e+00  -1.269380e+05   1.688596e-01  -1.187120e+05  -3.092984e-01
            187              0   1.150000e+00   5.000000e-01   6.900000e-01   5.090096e+01   0.000000e+00   5.320529e+00   2.536687e+00   1.570796e+00   9.658907e-01   1.570797e+00   1.803533e-06   1.570798e+00   2.175704e+00   1.570796e+00   2.536685e+00  -3.014865e-01   0.000000e+00  -1.031938e-01   0.000000e+00  -7.066198e-02   0.000000e+00  -4.413702e+03   0.000000e+00  -1.080548e+04  -1.174683e-01  -3.673358e+04  -5.749536e-02
            373              0   1.150000e+00   5.000000e-01   6.900000e-01   3.081142e+01   0.000000e+00   3.898033e+00   8.923825e-01   1.570796e+00   6.784139e-01   1.570799e+00   2.865908e-06   1.570795e+00   2.463179e+00   1.570796e+00   8.923828e-01  -1.538927e-01   0.000000e+00   4.640176e-02   0.000000e+00  -2.856931e-01   0.000000e+00   2.296650e+04   0.000000e+00   6.613044e+03   4.140090e-02  -5.030464e+03  -1.907640e-02
            373              1   5.750000e-01   5.000000e-01   3.450000e-01   5.401296e+01   0.000000e+00   5.252426e+00   1.576513e+00   1.570796e+00   5.716666e-03   1.570798e+00   1.803533e-06   1.570798e+00   3.135876e+00   1.570796e+00   1.576513e+00  -3.850849e-01   0.000000e+00  -1.090706e-01   0.000000e+00   1.298346e-01   0.000000e+00   1.200040e+05   0.000000e+00  -7.638424e+04  -1.118079e-02  -6.253187e+03   1.382343e-01
            373              1   1.150000e+00   5.000000e-01   6.900000e-01   7.106136e+01   0.000000e+00   7.723360e+00   1.523425e+00   1.570796e+00   4.737130e-02   1.570798e+00   2.756634e-06   1.570799e+00   3.094221e+00   1.570796e+00   1.523425e+00  -1.738330e-01   0.000000e+00  -3.869174e-02   0.000000e+00   6.904687e-02   0.000000e+00   1.925761e+05   0.000000e+00   1.084639e+05  -2.065214e-01   6.178625e+03   2.630611e-01
            559              1   5.750000e-01   5.000000e-01   3.450000e-01   6.539739e+01   0.000000e+00   6.397063e+00   2.090659e+00   1.570796e+00   2.621730e+00   1.570794e+00   2.349616e-06   1.570795e+00   5.198650e-01   1.570796e+00   2.090661e+00  -8.703834e-02   0.000000e+00  -2.640878e-02   0.000000e+00   2.711160e-01   0.000000e+00   8.389865e+04   0.000000e+00   1.157038e+05   1.774521e-01   2.937920e+03  -3.412123e-01
            745              2   5.750000e-01   5.000000e-01   3.450000e-01   4.251699e+01   0.000000e+00   1.196362e+01   2.128077e+00   1.570796e+00   5.572808e-01   1.570798e+00   1.803533e-06   1.570797e+00   2.584311e+00   1.570796e+00   2.128078e+00  -2.695934e-01   0.000000e+00   2.024936e-02   0.000000e+00  -1.756524e-01   0.000000e+00   2.842694e+03   0.000000e+00   9.792330e+03   2.599027e-03   1.636421e+03  -2.757067e-04
             32              2   1.150000e+00   5.000000e-01   6.900000e-01   4.856034e+01   0.000000e+00   2.531203e+00   6.789370e-02   1.570796e+00   1.502903e+00   1.570795e+00   1.366445e-06   1.570796e+00   1.638690e+00   1.570796e+00   6.789405e-02  -8.524340e-02   0.000000e+00  -8.651234e-02   0.000000e+00  -1.832072e-01   0.000000e+00   1.585767e+04   0.000000e+00   1.469702e+05   3.488460e-03  -3.552614e+04  -1.498084e-01
            218              2   1.150000e+00   5.000000e-01   6.900000e-01   4.702155e+01   0.000000e+00   7.106843e+00   2.612647e+00   1.570796e+00   1.041851e+00   1.570796e+00   1.704800e-06   1.570798e+00   2.099740e+00   1.570796e+00   2.612649e+00  -3.089499e-01   0.000000e+00   2.107129e-02   0.000000e+00   2.008705e-02   0.000000e+00  -5.855827e+04   0.000000e+00   2.176689e+04  -1.394560e-01   9.456156e+03  -1.043814e-01
            404              3   5.750000e-01   5.000000e-01   3.450000e-01   5.510428e+01   0.000000e+00   6.244010e+00   2.415391e+00   1.570796e+00   8.445944e-01   1.570797e+00   7.483291e-07   1.570796e+00   2.296997e+00   1.570796e+00   2.415392e+00  -3.278006e-01   0.000000e+00  -3.512160e-02   0.000000e+00   2.998097e-01   0.000000e+00  -1.947850e+04   0.000000e+00   1.246468e+05  -1.566896e-01   1.620062e+04  -1.347184e-02
            590              3   5.750000e-01   5.000000e-01   3.450000e-01   3.904357e+01   0.000000e+00   9.035558e+00   1.671495e-01   1.570796e+00   1.737946e+00   1.570796e+00   4.619360e-07   1.570796e+00   1.403649e+00   1.570796e+00   1.671477e-01  -2.845604e-01   0.000000e+00   2.235846e-01   0.000000e+00   3.495327e-01   0.000000e+00   8.855896e+02   0.000000e+00  -1.402472e+02   5.814929e-03   2.069339e+03   5.462994e-03
            218              3   1.150000e+00   5.000000e-01   6.900000e-01   9.182581e+01   0.000000e+00   2.014497e+00   1.619873e+00   1.570796e+00   3.092516e+00   1.570796e+00   1.366445e-06   1.570795e+00   4.907684e-02   1.570796e+00   1.619873e+00  -4.363266e-01   0.000000e+00   1.471428e+00   0.000000e+00   3.564113e-01   0.000000e+00   0.000000e+00   0.000000e+00  -4.315961e+04   0.000000e+00   0.000000e+00   0.000000e+00

              5
   1.000000e+00   1.400000e+00
   8.000000e-01   1.300000e+00
   6.000000e-01   1.200000e+00
   3.000000e-01   1.150000e+00
   1.000000e-01   1.000000e+00

   8.000000e-01   6.000000e-01
