Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
0.00,0,,,,
0.02,0.0413353,,,,
0.05,0.077522,,,,
0.07,0.113727,,,,
0.10,0.14995,,,,
0.12,0.186191,,,,
0.15,0.22245,,,,
0.17,0.258727,,,,
0.20,0.295023,,,,
0.22,0.331337,,,,
0.25,0.36767,,,,
0.27,0.404021,,,,
0.30,0.44039,,,,
0.32,0.476778,,,,
0.35,0.513185,,,,
0.37,0.549611,,,,
0.40,0.586055,,,,
0.42,0.622518,,,,
0.45,0.659001,,,,
0.47,0.695502,,,,
0.50,0.732022,,,,
0.52,0.768562,,,,
0.55,0.805121,,,,
0.57,0.841699,,,,
0.60,0.878297,,,,
0.62,0.914914,,,,
0.65,0.951552,,,,
0.67,0.988209,,,,
0.70,1.02489,,,,
0.72,1.06158,,,,
0.75,1.0983,,,,
0.77,1.13504,,,,
0.80,1.17179,,,,
0.82,1.20857,,,,
0.85,1.24537,,,,
0.87,1.28219,,,,
0.90,1.31903,,,,
0.92,1.35589,,,,
0.95,1.39277,,,,
0.97,1.42968,,,,
1.00,1.4666,,,,
1.02,1.50355,,,,
1.05,1.54051,,,,
1.07,1.5775,,,,
1.10,1.61452,,,,
1.12,1.65155,,,,
1.15,1.6886,,,,
1.17,1.72568,,,,
1.20,1.76278,,,,
1.22,1.7999,,,,
1.25,1.83705,,,,
1.27,1.87422,,,,
1.30,1.91141,,,,
1.32,1.94862,,,,
1.35,1.98586,,,,
1.37,2.02312,,,,
1.40,2.06041,,,,
1.42,2.09772,,,,
1.45,2.13505,,,,
1.47,2.17241,,,,
1.50,2.20979,,,,
1.52,2.24719,,,,
1.55,2.28462,,,,
1.57,2.32208,,,,
1.60,2.35956,,,,
1.62,2.39707,,,,
1.65,2.4346,,,,
1.67,2.47215,,,,
1.70,2.50974,,,,
1.72,2.54735,,,,
1.75,2.58498,,,,
1.77,2.62264,,,,
1.80,2.66033,,,,
1.82,2.69804,,,,
1.85,2.73578,,,,
1.87,2.77355,,,,
1.90,2.81135,,,,
1.92,2.84917,,,,
1.95,2.88702,,,,
1.97,2.9249,,,,
2.00,2.96281,,,,
2.02,3.00074,,,,
2.04,3.03871,,,,
2.07,3.0767,,,,
2.09,3.11472,,,,
2.12,3.15277,,,,
2.14,3.19085,,,,
2.17,3.22896,,,,
2.19,3.2671,,,,
2.22,3.30527,,,,
2.24,3.34347,,,,
2.27,3.38171,,,,
2.29,3.41997,,,,
2.32,3.45826,,,,
2.34,3.49658,,,,
2.37,3.53494,,,,
2.39,3.57333,,,,
2.42,3.61175,,,,
2.44,3.6502,,,,
2.47,3.68868,,,,
2.49,3.7272,,,,
2.52,3.76575,,,,
2.54,3.80434,,,,
2.57,3.84295,,,,
2.59,3.8816,,,,
2.62,3.92029,,,,
2.64,3.95901,,,,
2.67,3.99776,,,,
2.69,4.03655,,,,
2.72,4.07537,,,,
2.74,4.11423,,,,
2.77,4.15313,,,,
2.79,4.19206,,,,
2.82,4.23103,,,,
2.84,4.27003,,,,
2.87,4.30907,,,,
2.89,4.34815,,,,
2.92,4.38726,,,,
2.94,4.42641,,,,
2.97,4.4656,,,,
2.99,4.50483,,,,
3.02,4.5441,,,,
3.04,4.5834,,,,
3.07,4.62275,,,,
3.09,4.66213,,,,
3.12,4.70156,,,,
3.14,4.74102,,,,
3.17,4.78052,,,,
3.19,4.82007,,,,
3.22,4.85965,,,,
3.24,4.89928,,,,
3.27,4.93895,,,,
3.29,4.97866,,,,
3.32,5.01841,,,,
3.34,5.0582,,,,
3.37,5.09804,,,,
3.39,5.13792,,,,
3.42,5.17785,,,,
3.44,5.21781,,,,
3.47,5.25783,,,,
3.49,5.29788,,,,
3.52,5.33798,,,,
3.54,5.37813,,,,
