Yield surface,
,
Dry sand,
,Deviatoric
pressure,yield
(MPa),stress (MPa)
0.0413353,0.0339698
0.077522,0.0679566
0.113727,0.10196
0.14995,0.135981
0.186191,0.170019
0.22245,0.204074
0.258727,0.238146
0.295023,0.272236
0.331337,0.306342
0.36767,0.340466
0.404021,0.374607
0.44039,0.408766
0.476778,0.442942
0.513185,0.477136
0.549611,0.511348
0.586055,0.545577
0.622518,0.579823
0.659001,0.614088
0.695502,0.648371
0.732022,0.682672
0.768562,0.71699
0.805121,0.751327
0.841699,0.785683
0.878297,0.820056
0.914914,0.854448
0.951552,0.888859
0.988209,0.923288
1.02489,0.957736
1.06158,0.992203
1.0983,1.02669
1.13504,1.06119
1.17179,1.09572
1.20857,1.13026
1.24537,1.16482
1.28219,1.1994
1.31903,1.23401
1.35589,1.26863
1.39277,1.30327
1.42968,1.33793
1.4666,1.37261
1.50355,1.40731
1.54051,1.44203
1.5775,1.47678
1.61452,1.51154
1.65155,1.54632
1.6886,1.58113
1.72568,1.61595
1.76278,1.6508
1.7999,1.68567
1.83705,1.72056
1.87422,1.75547
1.91141,1.7904
1.94862,1.82535
1.98586,1.86033
2.02312,1.89533
2.06041,1.93035
2.09772,1.96539
2.13505,2.00046
2.17241,2.03555
2.20979,2.07066
2.24719,2.10579
2.28462,2.14095
2.32208,2.17613
2.35956,2.21134
2.39707,2.24657
2.4346,2.28182
2.47215,2.3171
2.50974,2.3524
2.54735,2.38772
2.58498,2.42307
2.62264,2.45845
2.66033,2.49385
2.69804,2.52927
2.73578,2.56472
2.77355,2.6002
2.81135,2.6357
2.84917,2.67123
2.88702,2.70678
2.9249,2.74236
2.96281,2.77797
3.00074,2.8136
3.03871,2.84926
3.0767,2.88495
3.11472,2.92067
3.15277,2.95641
3.19085,2.99218
3.22896,3.02798
3.2671,3.0638
3.30527,3.09966
3.34347,3.13554
3.38171,3.17146
3.41997,3.2074
3.45826,3.24337
3.49658,3.27937
3.53494,3.3154
3.57333,3.35146
3.61175,3.38755
3.6502,3.42367
3.68868,3.45982
3.7272,3.496
3.76575,3.53221
3.80434,3.56846
3.84295,3.60473
3.8816,3.64104
3.92029,3.67738
3.95901,3.71376
3.99776,3.75016
4.03655,3.7866
4.07537,3.82307
4.11423,3.85957
4.15313,3.89611
4.19206,3.93268
4.23103,3.96929
4.27003,4.00593
4.30907,4.0426
4.34815,4.07931
4.38726,4.11606
4.42641,4.15284
4.4656,4.18965
4.50483,4.22651
4.5441,4.2634
4.5834,4.30032
4.62275,4.33728
4.66213,4.37428
4.70156,4.41132
4.74102,4.44839
4.78052,4.4855
4.82007,4.52265
4.85965,4.55984
4.89928,4.59707
4.93895,4.63434
4.97866,4.67164
5.01841,4.70899
5.0582,4.74637
5.09804,4.7838
5.13792,4.82127
5.17785,4.85878
5.21781,4.89633
5.25783,4.93392
5.29788,4.97155
5.33798,5.00922
5.37813,5.04694
5.41832,5.0847
5.45856,5.1225
5.49884,5.16035
5.53917,5.19824
5.57955,5.23618
5.61997,5.27416
5.66045,5.31218
5.70097,5.35025
5.74153,5.38836
5.78215,5.42652
5.82281,5.46473
5.86353,5.50298
5.90429,5.54128
5.94511,5.57963
5.98597,5.61803
6.02689,5.65647
6.06786,5.69496
6.10888,5.7335
6.14995,5.77209
6.19107,5.81073
6.23225,5.84941
6.27347,5.88815
6.31476,5.92694
6.35609,5.96578
6.39748,6.00467
6.43893,6.04361
6.48043,6.0826
6.52198,6.12165
6.5636,6.16075
6.60526,6.1999
6.64699,6.2391
6.68877,6.27836
6.73061,6.31768
6.77251,6.35704
6.81446,6.39646
6.85648,6.43594
6.89855,6.47548
6.94068,6.51507
6.98288,6.55471
7.02513,6.59442
7.06744,6.63418
7.10982,6.67399
7.15226,6.71387
7.19476,6.75381
7.23732,6.7938
7.27995,6.83386
7.32264,6.87397
7.36539,6.91414
7.40821,6.95438
7.45109,6.99467
7.49404,7.03503
7.53705,7.07545
7.58013,7.11593
7.62328,7.15648
7.66649,7.19709
7.70977,7.23776
7.75312,7.2785
7.79654,7.3193
7.84003,7.36016
7.88359,7.40109
7.92721,7.44209
7.97091,7.48316
8.01468,7.52429
8.05852,7.56548
8.10243,7.60675
8.14642,7.64809
8.19048,7.68949
8.23461,7.73096
8.27881,7.7725
8.32309,7.81412
8.36745,7.8558
8.41188,7.89755
8.45639,7.93938
8.50097,7.98128
8.54563,8.02325
8.59037,8.06529
8.63518,8.10741
8.68008,8.1496
8.72505,8.19187
8.77011,8.23421
8.81524,8.27663
8.86045,8.31912
8.90575,8.36169
8.95113,8.40434
8.99659,8.44706
9.04213,8.48987
9.08776,8.53275
9.13347,8.57571
9.17927,8.61875
9.22515,8.66187
9.27111,8.70507
9.31717,8.74835
9.36331,8.79172
9.40953,8.83517
9.45585,8.87869
9.50225,8.92231
