# RVE Size
0.02
# Particle List
# type  radius  thickness rotation  xCent  yCent  zCent  matCode
# Particle 0
1 0.002875 0.0003 0.0 0.0206576 -0.0011809 0.0 0
# Particle 1
1 0.002875 0.0003 0.0 0.0006576 -0.0011809 0.0 0
# Particle 2
1 0.002875 0.0003 0.0 0.0206576 0.0188191 0.0 0
# Particle 3
1 0.002875 0.0003 0.0 0.0006576 0.0188191 0.0 0
# Particle 4
1 0.002875 0.0003 0.0 0.0055063 0.0126303 0.0 0
# Particle 5
1 0.002625 0.0003 0.0 0.0093299 0.0022374 0.0 0
# Particle 6
1 0.002625 0.0003 0.0 0.0093299 0.0222374 0.0 0
# Particle 7
1 0.002625 0.0003 0.0 0.0169012 0.012047 0.0 0
# Particle 8
1 0.002375 0.0003 0.0 0.0003209 0.00421 0.0 0
# Particle 9
1 0.002375 0.0003 0.0 0.0203209 0.00421 0.0 0
# Particle 10
1 0.002375 0.0003 0.0 0.0098728 0.0172001 0.0 0
# Particle 11
1 0.002125 0.0003 0.0 0.0104363 0.0077971 0.0 0
# Particle 12
1 0.002125 0.0003 0.0 0.0151894 -0.0002545 0.0 0
# Particle 13
1 0.002125 0.0003 0.0 0.0151894 0.0197455 0.0 0
# Particle 14
1 0.002125 0.0003 0.0 0.0136669 0.0048692 0.0 0
# Particle 15
1 0.001875 0.0003 0.0 0.0019238 0.0087258 0.0 0
# Particle 16
1 0.001875 0.0003 0.0 0.0107571 0.0129819 0.0 0
# Particle 17
1 0.001875 0.0003 0.0 0.0045629 0.002647 0.0 0
# Particle 18
1 0.001875 0.0003 0.0 0.0057881 0.0069192 0.0 0
# Particle 19
1 0.001625 0.0003 0.0 0.0180441 0.0077628 0.0 0
# Particle 20
1 0.001625 0.0003 0.0 0.0210627 0.0140062 0.0 0
# Particle 21
1 0.001625 0.0003 0.0 0.0010627 0.0140062 0.0 0
# Particle 22
1 0.001625 0.0003 0.0 0.0143331 0.0155079 0.0 0
# Particle 23
1 0.001625 0.0003 0.0 0.0053955 0.0179697 0.0 0
# Particle 24
1 0.001375 0.0003 0.0 0.0142143 0.0085826 0.0 0
# Particle 25
1 0.001375 0.0003 0.0 0.0167214 0.0029693 0.0 0
# Particle 26
1 0.001375 0.0003 0.0 0.0173055 0.0161266 0.0 0
# Particle 27
1 0.001125 0.0003 0.0 0.0124613 0.0104464 0.0 0
# Particle 28
1 0.000875 0.0003 0.0 0.0078019 0.0093775 0.0 0
# Particle 29
1 0.000875 0.0003 0.0 0.009024 0.0107159 0.0 0
# Particle 30
1 0.000875 0.0003 0.0 0.0018189 0.0115061 0.0 0
# Particle 31
1 0.000875 0.0003 0.0 0.0034785 0.0159991 0.0 0
# Particle 32
1 0.000875 0.0003 0.0 0.0169382 0.0052858 0.0 0
# Particle 33
1 0.000875 0.0003 0.0 0.0128941 0.0019295 0.0 0
# Particle 34
1 0.000875 0.0003 0.0 0.0121183 -0.0000762 0.0 0
# Particle 35
1 0.000875 0.0003 0.0 0.0121183 0.0199238 0.0 0
# Particle 36
1 0.000875 0.0003 0.0 0.006238 0.0003609 0.0 0
# Particle 37
1 0.000875 0.0003 0.0 0.006238 0.0203609 0.0 0
# Particle 38
1 0.000875 0.0003 0.0 0.0031111 0.0059688 0.0 0
# Particle 39
1 0.000875 0.0003 0.0 0.0083027 0.0056436 0.0 0
# Particle 40
1 0.000625 0.0003 0.0 0.0176622 0.0010638 0.0 0
# Particle 41
1 0.000625 0.0003 0.0 0.0160724 0.0065579 0.0 0
# Particle 42
1 0.000625 0.0003 0.0 0.0129311 0.0176141 0.0 0
# Particle 43
1 0.000625 0.0003 0.0 0.0134036 0.0133972 0.0 0
# Particle 44
1 0.000625 0.0003 0.0 0.0065109 0.0044792 0.0 0
# Particle 45
1 0.000625 0.0003 0.0 0.0199406 0.0105896 0.0 0
# Particle 46
1 0.000625 0.0003 0.0 -0.0000594 0.0105896 0.0 0
